company_id,fy,report_url,report_filing_date,source_page,msme_unbilled,msme_not_due,msme_under_1yr,msme_1_2yr,msme_2_3yr,msme_over_3yr,msme_total,nonmsme_total,disputed_total,total_trade_payables,msmed_principal_unpaid_year_end,msmed_interest_due_unpaid,msmed_principal_paid_beyond_appointed_day,msmed_interest_paid_u_s16,msmed_interest_accrued_unpaid,revenue_standalone,revenue_consolidated,cost_of_materials_consumed,trade_payables_turnover_ratio,units_as_reported,has_not_due_column,basis,msmed_interest_due_on_payments_made_beyond_appointed_day,ageing_basis,cash_and_cash_equivalents_cr,bank_balances_other_cr,current_investments_cr,total_expenses_cr,depreciation_amortisation_cr,finance_costs_cr,cash_buffer_days,cash_components_basis,purchases_stock_in_trade_cr,cost_base_type,msmed_interest_lines_disclosed,msmed_note_format,msmed_note_verbatim,undrawn_credit_facilities_cr,undrawn_source,plausibility_flags,total_expenses_includes_dep_fin
NEULAND_C,FY2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/468d5faf-4daa-46c9-8c6b-10a43a1a4a44.pdf,2023-07-03,p143 standalone P&L; p142 BS; p145 CF (BSE AR 2023),nil,11.36,nil,nil,nil,nil,11.36,166.64,nil,177.99,11.36,,nil,nil,1.11,1191.2,,487.74,,lakh,true,standalone,nil,due_date,44.96,13.69,nil,985.73,52.78,13.07,23,all_disclosed,,materials_consumed,6,six_line_one_caption_duplicated,Payments made beyond the appointed date during the year. -,,,,true
NEULAND_C,FY2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/468d5faf-4daa-46c9-8c6b-10a43a1a4a44.pdf,2024-07-15,"p182 standalone P&L; p181 BS; p184 CF (BSE AR 2024 REVISED copy, 15-07-2024)",nil,9.74,nil,nil,nil,nil,9.74,188.79,nil,198.54,9.74,,nil,nil,0.27,1558.58,,632.43,,lakh,true,standalone,nil,due_date,86.07,29.22,nil,1170.36,59.7,14.0,38,current_investments_absent_treated_nil,,materials_consumed,6,six_line_one_caption_duplicated,Payments made beyond the appointed date during the year. -,,,,true
DHANUKA_C,FY2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/826d473a-fdba-4199-8376-815a595af385.pdf,2023-07-10,p139 standalone P&L; p138 BS; p141 CF (BSE AR 2023),,,4.35,nil,nil,nil,4.35,170.88,nil,175.23,4.21,nil,nil,nil,0.14,1700.22,,925.45,,lakh,false,standalone,nil,transaction_date,3.48,0.8,95.77,1442.25,17.61,3.12,26,all_disclosed,195.88,materials_plus_purchases,,,,,,,true
DHANUKA_C,FY2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/826d473a-fdba-4199-8376-815a595af385.pdf,2024-07-10,p151 standalone P&L; p150 BS; p152 CF (BSE AR 2024),,,5.95,nil,nil,nil,5.95,143.54,nil,149.49,5.82,nil,nil,nil,0.14,1758.54,,899.95,,lakh,false,standalone,nil,transaction_date,0.51,0.8,71.84,1474.75,40.56,3.09,19,all_disclosed,207.85,materials_plus_purchases,5,five_line_appointed_day_caption_embedded_in_s16_line,"41. THE MICRO, SMALL AND MEDIUM ENTERPRISES DEVELOPMENT (MSMED) ACT, 2006. 1.) Principal amount and Interest due thereon remaining unpaid to any supplier covered under MSMED Act as on 31st March: Principal 581.58; Interest - | 2.) Interest paid by the Company in terms of Section 16 of the MSMED Act along with the amounts of the payment made to the supplier beyond the appointed day during the accounting year - | 3.) The amount of interest due and payable for the year of delay in making payment (which have been paid but beyond the appointed day during the year) but without adding the interest specified under this Act - | 4.) The amount of interest accrued and remaining unpaid at the end of each accounting year 13.65 | 5.) The amount of further interest remaining due and payable even in the succeeding years - [Rs in Lacs]",,,,true
BALRAMPUR_C,FY2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/dddb26e2-d9fb-49c4-b5e5-765c02cce0d1.pdf,2023-07-26,p248 standalone P&L; p247 BS; p251 CF (BSE AR 2023),nil,3.09,nil,nil,nil,nil,3.09,312.93,nil,316.02,3.09,nil,nil,nil,nil,4665.86,,3419.4,,lakh,true,standalone,nil,due_date,0.31,11.59,61.25,4331.68,129.5,48.65,6,all_disclosed,,materials_consumed,,,,,,,true
BALRAMPUR_C,FY2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/dddb26e2-d9fb-49c4-b5e5-765c02cce0d1.pdf,2024-07-10,p256 standalone P&L; p255 BS; p259 CF (BSE AR 2024),nil,7.85,nil,nil,nil,nil,7.85,270.58,nil,278.44,7.85,nil,nil,nil,nil,5593.74,,4579.83,,lakh,true,standalone,nil,due_date,0.32,2.64,nil,5057.56,166.36,83.63,0,all_disclosed,,materials_consumed,6,six_line_split_trade_payables_vs_capital_goods,"Note 38(5), split into Trade payables / Payable to suppliers of capital goods / Total. (i) The principal amount remaining unpaid to suppliers as at the end of accounting year 785.36 374.16 1159.52 | (ii) The interest due thereon remaining unpaid to suppliers as at the end of accounting year - - - | (iii) The amount of interest paid by the Company in terms of section 16 of the MSMED Act 2006, along with the amount of payment made to the suppliers beyond the appointed day during the year - - - | (iv) The amount of interest due and payable for the period of delay in making payment (which have been paid but beyond the appointed day during the year) but without adding the interest specified under the MSMED Act 2006 - - - | (v) The amount of interest accrued during the year and remaining unpaid at the end of the accounting year - - - | (vi) The amount of further interest remaining due and payable even in the succeeding years - - - [Rs in Lakhs]",,"not disclosed: the FY2025 report discloses undrawn TERM LOAN sanction balances (Rs 20000/30000/80000 Lakhs) tied to the Kumbhi Polylactic Acid capex project, which are project-tied and not working-capital liquidity. No undrawn working-capital / cash-credit limit is stated anywhere in the FY2022 or FY2025 report.",BUFFER_0d,true
SHIVAM,FY2022,https://www.bseindia.com/xml-data/corpfiling/AttachHis/10aeef67-a0ab-46f0-90f3-4a9ee53c1165.pdf,2023-09-09,comparative column in FY2023 report: standalone P&L p.84; standalone BS p.83; cash flow p.85,,1.93,10.58,0.46,0.07,0.02,13.06,60.96,nil,74.02,,,,,,469.2,,168.94,,lakh,true,standalone,,due_date,1.09,0.16,nil,489.44,40.89,50.61,1,current_investments_absent_treated_nil,,materials_consumed,due_unpaid|due_on_payments_beyond_appointed_day|accrued_unpaid,tabular,b) Interest paid by the Company in terms of Section 16 of the MSMED Act along with the amounts of the payment made to the supplier beyond the appointed day during the accounting year.,,"not disclosed in the annual report: the liquidity-risk note refers to ""sufficient headroom on its undrawn committed borrowing facilities"" as policy boilerplate with no figure. See FY2025 row for the CARE rating-rationale quantum.",BUFFER_1d,true
SETCO,FY2022,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c59d3d42-8c0b-4142-b7d5-942515990530.pdf,2023-09-04,comparative column in FY2023 report: consolidated P&L p.136; consolidated BS p.135; consolidated cash flow p.138,,9.43,2.30,0.08,0.20,0.22,12.23,72.73,nil,84.96,12.23,,,,0.07,,435.0,226.95,,lakh,true,consolidated,,due_date,20.83,0.72,nil,596.62,37.45,108.32,17,current_investments_absent_treated_nil,,materials_consumed,2,two_line_principal_and_interest_only_no_appointed_day_caption,"Information in terms of Section 22 of Micro, Small and Medium enterprises Development Act, 2006 are given below: Principal amount remaining unpaid to any supplier at the end of each accounting year 1,223.24 | Interest accrued & remaining unpaid 7.33 [Rs in Lakhs, consolidated. TWO-LINE note only - no ""beyond the appointed day"" caption of any kind]",,,,true
BGL,FY2022,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5ab16edd-b252-461e-8867-76fbef4435b4.pdf,2022-08-26,p122 standalone P&L; p121 BS; p124 CF (BSE AR 2022),nil,1.65,1.60,nil,nil,nil,3.25,,nil,,,,,,,729.44,,375.3,,lakh,true,standalone,,due_date,3.04,6.32,nil,702.5,20.39,18.42,5,current_investments_absent_treated_nil,,materials_consumed,,,,,,,true
BGL,FY2025,https://www.bseindia.com/xml-data/corpfiling/AttachHis/84234da9-387a-49e7-9fbd-e430a243ec22.pdf,2025-07-04,"FY25 report: Note ageing p.151; MSME columns only extracted in this pass - non-MSME and totals NOT captured (capture gap, not a disclosure gap); MSMED Note 32.2 p.156",nil,6.52,1.56,nil,nil,nil,8.08,,nil,,,nil,8.32,,0.02,647.53,,354.48,,lakh,true,standalone,nil,due_date,0.06,9.28,nil,662.95,23.63,17.08,5,current_investments_absent_treated_nil,,materials_consumed,7,seven_line_incl_unpaid_beyond_45_days,"(i) Principal amount remaining unpaid to any supplier as at the end of the accounting year 863.80 | (ii) Principal amount remaining unpaid beyond 45 days to any supplier as at the end of the accounting year 38.46 | (iii) Interest due thereon remaining unpaid - | (iv) The amount of principal paid beyond the appointed day 832.49 | (v) The amount of interest due and payable for the year - | (vi) The amount of interest accrued and remaining unpaid at the end of the accounting year 2.37 | (vii) The amount of further interest due and payable even in the succeeding year - [Rs in Lakhs, note 32.2]",24.61,"AR FY2025 note ""The Company had access to following undrawn borrowing facilities"": fund-based cash credit/packing credit expiring within one year. Non-fund-based LC/BG of 1936.95 (FY25) / 2158.26 (FY24) lakh excluded as not cash liquidity.",,true
RICO_C,FY2022,https://www.bseindia.com/xml-data/corpfiling/AttachHis/1c629e61-e2cd-48b1-8cd9-a02328165d65.pdf,2022-09-08,p94 standalone P&L; p93 BS; p96 CF (BSE AR 2022),nil,5.57,13.58,0.00,nil,nil,19.15,,nil,,,,,,,1603.08,,1077.32,,crore,true,standalone,,due_date,2.35,12.55,nil,1583.37,74.69,36.67,4,current_investments_absent_treated_nil,,materials_consumed,,,,,,,true
RICO_C,FY2025,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f1646e90-cb6d-48a4-954b-8ebfdb725742.pdf,2025-08-22,p121 standalone P&L; p120 BS; p123 CF (BSE AR 2025),nil,15.58,6.56,nil,nil,nil,22.14,,nil,,,,,,,1607.02,,922.42,,crore,true,standalone,,due_date,0.58,5.82,nil,1605.87,88.91,40.41,2,current_investments_absent_treated_nil,,materials_consumed,,,,,,,true
PRECAM_C,FY2022,https://www.bseindia.com/xml-data/corpfiling/AttachHis/df9a91b0-5015-42dc-90b1-284cafecbf86.pdf,2023-07-03,"comparative column in FY2023 report: standalone P&L p.152; standalone BS p.151. NOTE ON P&L FORMAT: this company presents Total expenses (II) ABOVE the EBITDA subtotal, so it EXCLUDES finance costs and depreciation. total_expenses_includes_dep_fin=false and the cash-buffer denominator uses Total expenses as printed WITHOUT subtracting dep/fin (subtracting would double-count). Depreciation cross-checked against Note 27 Total depreciation and amortisation expense rather than the cash flow statement, which discloses only Depreciation on ROU asset separately.",nil,13.06,0.74,nil,nil,nil,13.81,,nil,,,,,,,512.12,,178.24,,lakh,true,standalone,,due_date,6.39,39.25,181.41,418.59,37.1,2.59,198,all_disclosed,,materials_consumed,due_unpaid|due_on_payments_beyond_appointed_day|accrued_unpaid,tabular,(i) Principal amount remaining unpaid to any supplier as at the end of the accounting year | (ii) Interest due thereon remaining unpaid | (iii) Interest paid by the Company in terms of section 16 of the MSMED Act along with the amounts of the payment made to the supplier beyond the appointed day | (iv) Interest due and payable for the period of delay | (v) Interest accrued and remaining unpaid | (vi) Further interest remaining due and payable,,"no undrawn quantum disclosed. CARE press release 28-Oct-2024: ""Average of maximum utilisation of working capital limits, over the 12 months through August 31, 2024, was 85%""; liquidity assessed Strong on ""liquid investments in mutual funds of Rs 225.03 crore and free cash and bank balance of Rs 88.84 crore as on March 31, 2024"". Limit size not stated, so no undrawn figure can be recorded.",,false
PRECAM_C,FY2025,https://www.bseindia.com/xml-data/corpfiling/AttachHis/3ca768ed-df7e-4723-b761-0c3994f964f5.pdf,2025-07-08,"FY2025 report: standalone P&L p.166; standalone BS p.165. NOTE ON P&L FORMAT: this company presents Total expenses (II) ABOVE the EBITDA subtotal, so it EXCLUDES finance costs and depreciation. total_expenses_includes_dep_fin=false and the cash-buffer denominator uses Total expenses as printed WITHOUT subtracting dep/fin (subtracting would double-count). Depreciation cross-checked against Note 27 Total depreciation and amortisation expense rather than the cash flow statement, which discloses only Depreciation on ROU asset separately.",nil,7.83,0.16,nil,nil,nil,7.98,,nil,,,,,,,612.0,,179.41,,lakh,true,standalone,,due_date,26.26,44.83,312.27,526.71,39.75,5.22,266,all_disclosed,,materials_consumed,due_unpaid|due_on_payments_beyond_appointed_day|accrued_unpaid,tabular,(i) Principal amount remaining unpaid to any supplier as at the end of the accounting year | (ii) Interest due thereon remaining unpaid | (iii) Interest paid by the Company in terms of section 16 of the MSMED Act along with the amounts of the payment made to the supplier beyond the appointed day | (iv) Interest due and payable for the period of delay | (v) Interest accrued and remaining unpaid | (vi) Further interest remaining due and payable,,"no undrawn quantum disclosed. CARE press release 28-Oct-2024: ""Average of maximum utilisation of working capital limits, over the 12 months through August 31, 2024, was 85%""; liquidity assessed Strong on ""liquid investments in mutual funds of Rs 225.03 crore and free cash and bank balance of Rs 88.84 crore as on March 31, 2024"". Limit size not stated, so no undrawn figure can be recorded.",,false
NEULAND_C,FY2025,"BSE AnnualReport_New scripcode 524558, Year 2025",2025-07-04,"p133 standalone BS(left col)+P&L(right col), two-up layout; p134 CF (BSE AR 2025)",nil,7.71,0.72,nil,nil,nil,8.43,,nil,,9.46,,nil,,0.14,1476.84,,574.81,,lakh,true,standalone,nil,due_date,130.38,126.89,107.68,1228.38,65.54,8.3,115,all_disclosed,,materials_consumed,,,,,,,true
BALRAMPUR_C,FY2022,"BSE AnnualReport_New scripcode 500038, Year 2023",2022-07-26,p191 standalone P&L; p190 BS; p194 CF (BSE AR 2022),nil,0.76,1.29,nil,nil,nil,2.05,275.79,nil,277.85,,,,,,4846.03,,3261.73,,lakh,true,standalone,,due_date,0.32,2.95,nil,4291.06,113.86,30.87,0,current_investments_absent_treated_nil,,materials_consumed,,,,,,BUFFER_0d,true
BALRAMPUR_C,FY2025,"BSE AnnualReport_New scripcode 500038, Year 2025",2025-08-06,p288 standalone P&L; p287 BS; p291 CF (BSE AR 2025),nil,10.56,nil,nil,nil,nil,10.56,266.08,nil,276.65,,,,,,5415.38,,4111.35,,lakh,true,standalone,,due_date,0.36,3.06,nil,4977.14,172.54,93.46,0,current_investments_absent_treated_nil,5.39,materials_plus_purchases,6,six_line_split_trade_payables_vs_capital_goods,"Note 38(5), split into Trade payables / Payable to suppliers of capital goods / Total. (i) The principal amount remaining unpaid to suppliers as at the end of accounting year 1056.47 203.92 1260.39 | (ii) The interest due thereon remaining unpaid to suppliers as at the end of accounting year - - - | (iii) The amount of interest paid by the Company in terms of section 16 of the MSMED Act 2006, along with the amount of payment made to the suppliers beyond the appointed day during the year - - - | (iv) The amount of interest due and payable for the period of delay in making payment (which have been paid but beyond the appointed day during the year) but without adding the interest specified under the MSMED Act 2006 - - - | (v) The amount of interest accrued during the year and remaining unpaid at the end of the accounting year - - - | (vi) The amount of further interest remaining due and payable even in the succeeding years - - - [Rs in Lakhs]",1056.0,"CRISIL rating rationale 25-Feb-2025 (Crisil AA+/Stable): ""Fund-based working capital line of ~Rs 2,400 crore was utilised 56% on average for the 12 months through January 2025."" Undrawn recorded as 2400 x (1-0.56) = 1056. DERIVED from a 12-month AVERAGE utilisation, not a 31-March point-in-time figure.",BUFFER_0d|UNDRAWN_DERIVED_FROM_AVG_UTILISATION,true
NECTAR,FY2025,"BSE AnnualReport_New scripcode 532649, Year 2025",2025-08-26,"p47 standalone P&L (total expenses UNLABELLED; components sum 18,364.99 exactly; 16,749.65-18,364.99=-1,615.34 = stated PBT); p46 BS; p49 CF",,,,,,,,,,,8.75,,,,0.22,1669.97,,1250.72,,million,false,standalone,,due_date,19.22,nil,0.53,1836.5,62.39,74.58,4,single_cash_line_includes_FDR_and_dividend_accts_no_separate_bank_other_line,0.0,materials_plus_purchases,2,narrative_prose_principal_and_s16_interest_only,"NARRATIVE, not a table: ""The principal amount remaining unpaid as at 31st March 2025 in respect of enterprises covered under the Micro, Small and Medium Enterprises Development Act, 2006 are ` 87.55 million (Previous year ` 108.62 million). The interest amount computed based on the provisions under Section 16 of the MSMED Act of ` 2.20 million (Previous year ` 0.96 million) remains unpaid."" NO ""beyond the appointed day"" caption of any kind.",,,TEXP_CAPTION_ABSENT_DERIVED_TOTAL_VERIFIED,true
DHANUKA_C,FY2025,"BSE AnnualReport_New scripcode 507717, Year 2025",2025-07-05,p173 standalone P&L; p172 BS; p174 CF (BSE AR 2025),,,,,,,,,,,,nil,nil,nil,0.14,2035.15,,1031.79,,lakh,false,standalone,nil,transaction_date,0.57,0.81,123.59,1679.12,55.46,5.11,28,all_disclosed,166.67,materials_plus_purchases,5,five_line_appointed_day_caption_embedded_in_s16_line,"41. THE MICRO, SMALL AND MEDIUM ENTERPRISES DEVELOPMENT (MSMED) ACT, 2006. 1.) Principal amount and Interest due thereon remaining unpaid to any supplier covered under MSMED Act as on 31st March: Principal 598.39; Interest - | 2.) Interest paid by the Company in terms of Section 16 of the MSMED Act along with the amounts of the payment made to the supplier beyond the appointed day during the accounting year - | 3.) The amount of interest due and payable for the year of delay in making payment (which have been paid but beyond the appointed day during the year) but without adding the interest specified under this Act - | 4.) The amount of interest accrued and remaining unpaid at the end of each accounting year 13.65 | 5.) The amount of further interest remaining due and payable even in the succeeding years - [Rs in Lacs]",,,,true
